order_id,material_cost,shipping_cost
O-00001,1908.18,526.63
O-00002,9395.47,1958.8
O-00003,485.89,94.25
O-00004,4605.38,1577.89
O-00005,2393.75,612.23
O-00006,2762.72,844.73
O-00007,2203.73,531.08
O-00008,1374.17,438.45
O-00009,8421.6,2076.25
O-00010,2738.6,583.09
O-00011,407.86,88.58
O-00012,1006.76,216.05
O-00013,367.03,69.56
O-00014,276.18,78.98
O-00015,1388.0,369.07
O-00016,1741.74,427.7
O-00017,1243.78,278.39
O-00018,4335.13,830.73
O-00019,714.0,174.74
O-00020,753.67,173.28
O-00021,1258.97,238.61
O-00022,1199.57,258.59
O-00023,1492.81,344.77
O-00024,241.91,48.34
O-00025,2376.26,681.21
O-00026,890.21,247.18
O-00027,2233.92,648.81
O-00028,1751.02,329.75
O-00029,476.41,109.43
O-00030,488.97,119.84
O-00031,2747.47,671.93
O-00032,1611.33,316.92
O-00033,1874.91,475.69
O-00034,3564.21,969.85
O-00035,6530.82,1688.07
O-00036,1183.03,304.5
O-00037,1543.55,428.53
O-00038,5838.93,1318.11
O-00039,676.81,235.03
O-00040,3013.45,645.17
O-00041,558.84,126.89
O-00042,940.96,195.25
O-00043,96.81,31.97
O-00044,5974.17,1939.2
O-00045,1341.66,279.75
O-00046,1748.06,581.15
O-00047,1693.42,601.99
O-00048,2819.92,669.67
O-00049,4242.43,1466.4
O-00050,104.88,30.12
O-00051,5796.55,1999.05
O-00052,1120.07,247.51
O-00053,577.34,179.86
O-00054,3148.06,869.85
O-00055,3090.49,809.37
O-00056,4941.03,1015.6
O-00057,947.54,262.53
O-00058,7577.72,2155.2
O-00059,881.29,246.82
O-00060,6938.04,1648.11
O-00061,7653.26,2376.18
O-00062,1057.58,326.22
O-00063,1648.22,356.49
O-00064,4512.9,1169.68
O-00065,1782.4,483.49
O-00066,199.32,60.72
O-00067,9841.24,2102.83
O-00068,1114.16,261.61
O-00069,99.3,23.81
O-00070,2816.3,782.68
O-00071,1515.93,309.26
O-00072,2498.04,535.66
O-00073,927.87,180.39
O-00074,392.83,97.77
O-00075,8305.21,2176.65
O-00076,1117.45,291.43
O-00077,65.22,14.61
O-00078,707.1,178.83
O-00079,8527.5,2138.8
O-00080,732.75,144.57
O-00081,556.73,143.62
O-00082,1687.21,570.88
O-00083,4945.22,1378.02
O-00084,1922.3,433.93
O-00085,541.36,102.57
O-00086,1464.44,371.22
O-00087,4922.33,1470.83
O-00088,3537.64,850.6
O-00089,1980.77,509.6
O-00090,947.64,221.69
O-00091,2887.12,633.28
O-00092,241.75,64.34
O-00093,559.86,186.99
O-00094,1429.22,400.76
O-00095,747.42,192.65
O-00096,1126.95,287.23
O-00097,997.49,291.09
O-00098,910.22,197.29
O-00099,822.68,204.44
O-00100,263.99,83.84
O-00101,358.73,84.22
O-00102,1001.38,296.41
O-00103,4050.0,852.05
O-00104,5867.52,1521.79
O-00105,5667.1,1633.71
O-00106,3019.2,639.6
O-00107,3827.86,934.94
O-00108,3378.97,872.23
O-00109,5591.45,1971.83
O-00110,2701.02,689.71
O-00111,304.08,62.34
O-00112,449.04,119.29
O-00113,409.76,118.71
O-00114,1517.7,371.55
O-00115,991.45,313.75
O-00116,350.09,87.97
O-00117,471.4,131.91
O-00118,886.09,261.67
O-00119,2108.57,666.97
O-00120,1374.85,290.09
O-00121,1291.32,236.48
O-00122,2092.98,697.16
O-00123,3666.12,1082.99
O-00124,1668.24,510.2
O-00125,2222.62,689.85
O-00126,269.88,74.32
O-00127,497.91,146.49
O-00128,923.82,271.63
O-00129,1261.59,361.13
O-00130,877.37,312.42
O-00131,656.4,161.1
O-00132,369.38,90.74
O-00133,269.25,94.6
O-00134,1117.2,310.76
O-00135,607.57,162.77
O-00136,445.9,268.83
O-00137,662.26,409.31
O-00138,1012.56,576.72
O-00139,1601.04,991.38
O-00140,7517.16,4806.21
O-00141,1054.77,869.96
O-00142,541.6,299.92
O-00143,320.75,271.74
O-00144,1802.86,1270.91
O-00145,2043.81,1294.37
O-00146,602.92,452.63
O-00147,1345.3,830.05
O-00148,542.71,396.44
O-00149,814.99,596.01
O-00150,2899.38,2189.87
O-00151,56.24,35.55
