customer_id,country
C-0001,Germany
C-0002,Germany
C-0003,UK
C-0004,France
C-0005,France
C-0006,France
C-0007,Germany
C-0008,Italy
C-0009,Germany
C-0010,Italy
C-0011,Spain
C-0012,Germany
C-0013,Germany
C-0014,Germany
C-0015,France
C-0016,France
C-0017,Italy
C-0018,Italy
C-0019,Germany
C-0020,Italy
C-0021,USA
C-0022,Canada
C-0023,USA
C-0024,Canada
C-0025,Canada
C-0026,USA
C-0027,USA
C-0028,Canada
C-0029,Canada
C-0030,Canada
C-0031,USA
C-0032,USA
C-0033,Canada
C-0034,USA
C-0035,USA
C-0036,Canada
C-0037,USA
C-0038,Canada
C-0039,Canada
C-0040,Canada
C-0041,Japan
C-0042,Singapore
C-0043,Australia
C-0044,Singapore
C-0045,Japan
C-0046,Australia
C-0047,Japan
C-0048,Singapore
C-0049,Australia
C-0050,Singapore
C-0051,Singapore
C-0052,Australia
C-0053,Singapore
C-0054,Japan
C-0055,Singapore
C-0056,Japan
C-0057,Japan
C-0058,Singapore
C-0059,Japan
C-0060,Australia
