order_id,customer_id,product_id,order_date,quantity,unit_price,revenue,quarter
O-00001,C-0004,P-102,2025-02-17,6,762.6324840273026,4575.79,Q1
O-00002,C-0004,P-100,2025-03-23,20,1110.8049566756574,22216.1,Q1
O-00003,C-0005,P-104,2025-03-29,8,142.29636152434475,1138.37,Q1
O-00004,C-0005,P-100,2025-02-21,11,1128.1933576756267,12410.13,Q1
O-00005,C-0005,P-102,2025-03-25,7,779.9077511390733,5459.35,Q1
O-00006,C-0006,P-101,2025-03-10,18,375.76449651137614,6763.76,Q1
O-00007,C-0007,P-101,2025-03-05,17,365.45456473042765,6212.73,Q1
O-00008,C-0010,P-103,2025-03-18,13,262.35455175900364,3410.61,Q1
O-00009,C-0012,P-100,2025-02-04,18,1218.3477718783404,21930.26,Q1
O-00010,C-0012,P-101,2025-01-01,15,417.22895565126487,6258.43,Q1
O-00011,C-0012,P-104,2025-03-06,6,155.53412638525847,933.2,Q1
O-00012,C-0015,P-104,2025-01-01,17,148.47625315035515,2524.1,Q1
O-00013,C-0016,P-101,2025-01-31,2,412.68057595224246,825.36,Q1
O-00014,C-0016,P-103,2025-03-10,3,253.71879109901207,761.16,Q1
O-00015,C-0017,P-104,2025-02-24,20,156.69816538516775,3133.96,Q1
O-00016,C-0017,P-101,2025-02-21,10,419.70896139965373,4197.09,Q1
O-00017,C-0018,P-101,2025-01-09,8,380.2851337288473,3042.28,Q1
O-00018,C-0019,P-100,2025-01-09,8,1242.9756023411032,9943.8,Q1
O-00019,C-0020,P-103,2025-03-11,7,229.96169432718844,1609.73,Q1
O-00020,C-0020,P-103,2025-03-02,8,255.28113741624912,2042.25,Q1
O-00021,C-0020,P-103,2025-02-24,12,240.41633535186517,2885.0,Q1
O-00022,C-0023,P-102,2025-02-01,4,742.9908086569985,2971.96,Q1
O-00023,C-0023,P-101,2025-03-01,9,374.98838687292607,3374.9,Q1
O-00024,C-0023,P-104,2025-01-07,4,149.67326011496675,598.69,Q1
O-00025,C-0024,P-101,2025-03-04,14,388.8815050782624,5444.34,Q1
O-00026,C-0025,P-103,2025-02-28,9,235.6968460855095,2121.27,Q1
O-00027,C-0028,P-102,2025-01-08,7,789.5016348979508,5526.51,Q1
O-00028,C-0029,P-103,2025-03-09,17,230.90372729773063,3925.36,Q1
O-00029,C-0029,P-101,2025-03-18,3,364.07765180254546,1092.23,Q1
O-00030,C-0029,P-104,2025-03-16,8,148.37668095450243,1187.01,Q1
O-00031,C-0030,P-102,2025-01-27,9,800.3671169723794,7203.3,Q1
O-00032,C-0030,P-101,2025-02-28,10,378.9706317763113,3789.71,Q1
O-00033,C-0030,P-103,2025-03-14,20,262.35361679456605,5247.07,Q1
O-00034,C-0031,P-100,2025-02-17,8,1131.2977304189983,9050.38,Q1
O-00035,C-0031,P-102,2025-03-25,20,783.4728831122725,15669.46,Q1
O-00036,C-0033,P-102,2025-01-14,4,809.0900020777199,3236.36,Q1
O-00037,C-0034,P-101,2025-03-06,9,389.3119111289626,3503.81,Q1
O-00038,C-0034,P-100,2025-02-05,14,1087.935617123829,15231.1,Q1
O-00039,C-0036,P-104,2025-03-13,14,135.21756824118765,1893.05,Q1
O-00040,C-0036,P-101,2025-01-05,18,410.075701193161,7381.36,Q1
O-00041,C-0037,P-102,2025-02-15,2,745.2091846007705,1490.42,Q1
O-00042,C-0037,P-104,2025-03-21,14,151.86324625072962,2126.09,Q1
O-00043,C-0038,P-103,2025-01-23,1,252.6211676908156,252.62,Q1
O-00044,C-0042,P-100,2025-01-05,13,1234.5467852408008,16049.11,Q1
O-00045,C-0042,P-103,2025-02-09,12,255.7701142864336,3069.24,Q1
O-00046,C-0042,P-101,2025-02-12,13,376.7161836613802,4897.31,Q1
O-00047,C-0043,P-103,2025-02-12,18,260.2213927621769,4683.99,Q1
O-00048,C-0043,P-101,2025-02-03,19,362.29543184119575,6883.61,Q1
O-00049,C-0043,P-102,2025-03-19,14,838.1083019179907,11733.52,Q1
O-00050,C-0044,P-103,2025-03-08,1,259.70906870621565,259.71,Q1
O-00051,C-0047,P-102,2025-02-10,20,799.6064971518654,15992.13,Q1
O-00052,C-0048,P-103,2025-02-21,11,251.14531553228997,2762.6,Q1
